time	dest	src	seqn	hops
1668695683.969	1	12	6	1
1668695684.974	1	7	6	1
1668695685.019	1	15	6	2
1668695686.172	1	8	6	1
1668695686.78	1	24	6	3
1668695687.144	1	18	6	3
1668695687.489	1	9	6	2
1668695687.959	1	26	6	3
1668695688.013	1	27	6	3
1668695688.058	1	11	6	2
1668695688.226	1	21	6	3
1668695688.771	1	30	6	2
1668695689.176	1	23	6	3
1668695690.81	1	20	6	3
1668695690.871	1	34	6	1
1668695691.453	1	31	6	2
1668695691.459	1	5	6	1
1668695691.661	1	10	6	2
1668695692.333	1	13	6	1
1668695692.665	1	33	6	2
1668695692.695	1	14	6	2
1668695693.74	1	4	6	1
1668695693.843	1	3	6	1
1668695693.929	1	2	6	1
1668695694.175	1	28	6	3
1668695694.887	1	6	6	1
1668695696.498	1	25	6	3
1668695696.744	1	19	6	3
1668695696.9	1	32	6	2
1668695697.132	1	17	6	2
1668695697.449	1	16	6	2
1668695712.886	1	10	7	2
1668695713.585	1	5	7	1
1668695713.683	1	15	7	2
1668695713.999	1	28	7	2
1668695714.773	1	20	7	4
1668695715.302	1	6	7	1
1668695715.909	1	26	7	2
1668695716.533	1	23	7	3
1668695717.102	1	33	7	2
1668695717.516	1	12	7	1
1668695717.939	1	11	7	1
1668695718.044	1	9	7	1
1668695719.068	1	35	7	1
1668695719.514	1	3	7	1
1668695720.685	1	13	7	1
1668695721.326	1	27	7	2
1668695721.395	1	30	7	2
1668695721.638	1	7	7	1
1668695721.891	1	17	7	2
1668695722.43	1	16	7	1
1668695723.22	1	24	7	2
1668695723.442	1	4	7	1
1668695723.616	1	14	7	2
1668695723.82	1	21	7	3
1668695724.005	1	34	7	1
1668695724.013	1	36	7	1
1668695724.377	1	29	7	2
1668695724.542	1	25	7	2
1668695724.871	1	18	7	3
1668695724.943	1	22	7	2
1668695725.053	1	2	7	1
1668695725.319	1	32	7	1
1668695726.914	1	31	7	2
1668695726.996	1	8	7	1
1668695727.245	1	19	7	3
1668695743.208	1	6	8	1
1668695744.252	1	29	8	2
1668695744.709	1	36	8	1
1668695744.908	1	9	8	1
1668695744.986	1	22	8	2
1668695745.942	1	19	8	3
1668695746.594	1	13	8	1
1668695746.866	1	30	8	2
1668695747.014	1	28	8	2
1668695747.176	1	26	8	2
1668695747.729	1	25	8	2
1668695747.844	1	10	8	1
1668695748.381	1	20	8	3
1668695748.396	1	27	8	2
1668695749.25	1	14	8	2
1668695749.687	1	8	8	1
1668695749.811	1	2	8	1
1668695750.222	1	21	8	3
1668695750.389	1	3	8	1
1668695750.438	1	33	8	2
1668695750.544	1	35	8	1
1668695750.849	1	7	8	1
1668695750.952	1	23	8	3
1668695751.136	1	15	8	2
1668695751.938	1	11	8	1
1668695752.025	1	24	8	2
1668695752.052	1	4	8	1
1668695752.812	1	16	8	1
1668695752.822	1	31	8	2
1668695752.923	1	12	8	1
1668695754.068	1	18	8	3
1668695754.632	1	34	8	1
1668695755.764	1	5	8	1
1668695755.906	1	17	8	2
1668695757.177	1	32	8	1
1668695772.775	1	10	9	1
1668695773.407	1	8	9	1
1668695773.908	1	27	9	2
1668695774.348	1	23	9	3
1668695775.539	1	11	9	1
1668695775.758	1	31	9	2
1668695777.548	1	19	9	2
1668695777.625	1	5	9	1
1668695778.067	1	35	9	1
1668695778.432	1	25	9	2
1668695778.68	1	33	9	2
1668695779.474	1	13	9	1
1668695779.535	1	6	9	1
1668695779.942	1	18	9	3
