time	dest	src	seqn
1668695712.88	1	10	7
1668695713.581	1	5	7
1668695713.676	1	15	7
1668695713.993	1	28	7
1668695714.752	1	20	7
1668695715.298	1	6	7
1668695715.903	1	26	7
1668695716.519	1	23	7
1668695717.095	1	33	7
1668695717.512	1	12	7
1668695717.935	1	11	7
1668695718.038	1	9	7
1668695719.064	1	35	7
1668695719.511	1	3	7
1668695720.681	1	13	7
1668695721.32	1	27	7
1668695721.389	1	30	7
1668695721.635	1	7	7
1668695721.884	1	17	7
1668695722.426	1	16	7
1668695723.214	1	24	7
1668695723.439	1	4	7
1668695723.611	1	14	7
1668695723.811	1	21	7
1668695724.002	1	34	7
1668695724.009	1	36	7
1668695724.37	1	29	7
1668695724.536	1	25	7
1668695724.862	1	18	7
1668695724.932	1	22	7
1668695725.05	1	2	7
1668695725.315	1	32	7
1668695726.908	1	31	7
1668695726.98	1	8	7
1668695727.236	1	19	7
1668695743.203	1	6	8
1668695744.245	1	29	8
1668695744.704	1	36	8
1668695744.905	1	9	8
1668695744.98	1	22	8
1668695745.931	1	19	8
1668695746.587	1	13	8
1668695746.858	1	30	8
1668695747.008	1	28	8
1668695747.168	1	26	8
1668695747.723	1	25	8
1668695747.841	1	10	8
1668695748.372	1	20	8
1668695748.39	1	27	8
1668695749.243	1	14	8
1668695749.683	1	8	8
1668695749.808	1	2	8
1668695750.21	1	21	8
1668695750.386	1	3	8
1668695750.431	1	33	8
1668695750.54	1	35	8
1668695750.846	1	7	8
1668695750.941	1	23	8
1668695751.13	1	15	8
1668695751.935	1	11	8
1668695752.018	1	24	8
1668695752.048	1	4	8
1668695752.81	1	16	8
1668695752.814	1	31	8
1668695752.918	1	12	8
1668695754.057	1	18	8
1668695754.627	1	34	8
1668695755.761	1	5	8
1668695755.899	1	17	8
1668695757.174	1	32	8
1668695772.771	1	10	9
1668695773.402	1	8	9
1668695773.89	1	27	9
1668695774.331	1	23	9
1668695775.536	1	11	9
1668695775.752	1	31	9
1668695777.541	1	19	9
1668695777.62	1	5	9
1668695778.063	1	35	9
1668695778.426	1	25	9
1668695778.674	1	33	9
1668695779.47	1	13	9
1668695779.532	1	6	9
1668695779.932	1	18	9
1668695780.541	1	7	9
1668695780.589	1	29	9
1668695781.175	1	3	9
1668695781.276	1	24	9
1668695781.532	1	17	9
1668695781.954	1	4	9
1668695782.022	1	9	9
1668695782.518	1	2	9
1668695783.022	1	30	9
1668695783.54	1	14	9
1668695783.723	1	26	9
1668695784.084	1	21	9
1668695784.16	1	16	9
1668695784.518	1	32	9
1668695786.067	1	12	9
1668695786.095	1	34	9
1668695786.211	1	36	9
1668695786.324	1	15	9
1668695787.003	1	22	9
1668695787.168	1	20	9
1668695787.258	1	28	9
